,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
25,Sacramento Kings,24.1,25,57,29,53,-4.37,0.30,-4.06,105.3,109.9,-4.6,94.0,.286,.201,.528,.491,13.6,27.8,.207,.505,12.6,73.5,.244,Power Balance Pavilion,543416,13254
26,Washington Wizards,27.6,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,.283,.183,.524,.481,13.9,27.6,.216,.502,12.8,72.4,.239,Verizon Center,664398,16205
27,Detroit Pistons,26.7,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,.303,.180,.515,.474,12.8,30.3,.220,.526,14.2,73.4,.264,The Palace of Auburn Hills,768826,18752
28,Los Angeles Clippers,27.3,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,.283,.221,.529,.491,14.8,27.1,.206,.509,12.2,74.0,.214,STAPLES Center,670063,16343
29,New Jersey Nets,24.8,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,.307,.181,.509,.458,13.7,25.1,.240,.517,13.3,71.8,.229,Izod Center,537230,13103
30,Minnesota Timberwolves,24.1,15,67,17,65,-9.60,0.54,-9.06,101.7,111.6,-9.9,96.1,.278,.171,.518,.478,14.6,26.7,.207,.525,13.0,73.6,.220,Target Center,619170,15102
,League Average,26.8,,,41,41,0.00,-0.01,-0.01,107.6,107.6,,92.7,.300,.222,.543,.501,13.3,26.3,.228,.501,13.3,73.7,.228,,703627,17162
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Miami Heat*,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,.524,13.5,25.2,.279,.475,12.6,75.5,.223,AmericanAirlines Arena,810930,19779
2,Chicago Bulls*,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,+8.0,90.4,.305,.215,.541,.501,13.5,29.4,.227,.463,13.6,76.2,.222,United Center,893462,21792
3,Los Angeles Lakers*,30.2,57,25,58,24,6.11,-0.10,6.01,111.0,104.3,+6.7,90.7,.293,.220,.545,.502,12.3,29.2,.228,.477,12.8,72.3,.181,STAPLES Center,778877,18997
4,San Antonio Spurs*,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,+6.2,92.3,.299,.261,.567,.527,12.8,24.9,.229,.491,12.6,74.6,.190,AT&T Center,750879,18314
5,Orlando Magic*,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,+5.9,91.2,.328,.328,.554,.521,14.3,26.1,.227,.475,13.3,76.9,.219,Amway Center,777852,18972
6,Boston Celtics*,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,+5.9,90.4,.305,.180,.561,.519,14.5,21.1,.235,.469,14.8,74.7,.235,TD Garden,763584,18624
7,Denver Nuggets*,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,+5.0,95.6,.367,.258,.574,.526,13.1,23.9,.281,.500,12.7,75.4,.224,Pepsi Center,696568,16989
8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,.525,13.6,24.1,.222,.488,13.0,74.8,.206,American Airlines Center,824162,20102
9,Oklahoma City Thunder*,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,+4.0,92.7,.363,.212,.561,.501,13.1,27.4,.299,.493,12.9,73.6,.228,Chesapeake Energy Arena,744068,18148
10,Memphis Grizzlies*,25.2,46,36,48,34,2.34,0.20,2.55,107.6,105.1,+2.5,91.9,.291,.136,.534,.493,13.0,28.9,.218,.502,15.7,72.5,.228,FedEx Forum,600687,14651
11,Houston Rockets,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109.0,+2.3,94.2,.299,.264,.550,.503,12.3,27.4,.239,.500,12.6,72.7,.219,Toyota Center,663839,16191
12,Portland Trail Blazers*,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,+1.7,87.9,.278,.228,.533,.486,12.6,29.5,.224,.510,15.4,72.0,.231,Rose Garden Arena,840924,20510
13,New Orleans Hornets*,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,+1.0,88.7,.296,.192,.537,.493,12.8,25.1,.226,.501,14.4,76.2,.220,New Orleans Arena,603088,14709
14,Philadelphia 76ers*,24.7,41,41,45,37,1.50,-0.50,1.01,106.6,105.0,+1.6,91.7,.273,.184,.535,.494,12.3,24.6,.210,.487,13.5,74.5,.231,Wells Fargo Center,604823,14752
15,New York Knicks*,25.3,42,40,43,39,0.78,-0.30,0.48,110.9,110.1,+0.8,95.6,.304,.303,.561,.513,12.6,24.2,.246,.511,13.8,71.9,.240,Madison Square Garden (IV),808879,19729
16,Phoenix Suns,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,.283,.271,.559,.522,13.2,23.7,.215,.513,13.1,71.6,.211,US Airways Center,720249,17567
17,Milwaukee Bucks,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,.287,.216,.511,.467,13.0,24.7,.217,.481,14.7,74.8,.236,Bradley Center,631912,15412
18,Atlanta Hawks*,27.4,44,38,39,43,-0.82,-0.28,-1.10,106.1,107.0,-0.9,89.3,.269,.222,.542,.501,13.5,23.4,.209,.495,12.3,74.6,.211,Philips Arena,641596,15649
19,Indiana Pacers*,25.9,37,45,38,44,-1.07,-0.30,-1.38,104.8,106.0,-1.2,94.7,.300,.244,.533,.486,14.1,25.9,.235,.487,12.8,74.1,.237,Conseco Fieldhouse,555077,13538
20,Utah Jazz,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,.313,.191,.544,.498,13.5,27.0,.241,.505,13.8,71.7,.275,EnergySolutions Arena,799982,19512
21,Golden State Warriors,25.2,36,46,35,47,-2.33,0.33,-2.00,108.2,110.7,-2.5,94.8,.241,.248,.544,.510,13.3,26.7,.183,.509,14.5,69.3,.259,Oracle Arena,766398,18693
22,Los Angeles Clippers,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,.332,.230,.535,.496,15.1,28.4,.234,.499,12.8,73.2,.250,STAPLES Center,727462,17743
23,Detroit Pistons,27.2,30,52,31,51,-3.60,-0.18,-3.78,107.7,111.7,-4.0,89.2,.279,.189,.533,.495,12.5,27.4,.206,.526,13.8,72.1,.235,The Palace of Auburn Hills,683080,16660
24,Charlotte Bobcats,26.9,34,48,29,53,-4.00,-0.08,-4.08,103.4,107.8,-4.4,89.6,.314,.189,.528,.482,14.1,25.7,.237,.500,12.9,75.2,.229,Time Warner Cable Arena,649694,15846
25,Sacramento Kings,24.8,24,58,27,55,-5.34,0.54,-4.80,103.5,109.0,-5.5,95.2,.284,.183,.519,.480,14.4,29.9,.208,.513,13.5,74.4,.233,Power Balance Pavilion,569496,13890
26,Minnesota Timberwolves,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,.282,.223,.526,.483,15.1,29.6,.217,.514,13.1,73.7,.251,Target Center,624960,15243
27,New Jersey Nets,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,.283,.201,.517,.474,13.4,26.1,.215,.503,11.8,74.2,.241,Prudential Center,581378,13949
28,Toronto Raptors,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,.293,.162,.533,.491,13.7,28.2,.221,.522,13.0,72.0,.251,Air Canada Centre,680255,16592
29,Washington Wizards,24.9,23,59,22,60,-7.40,0.11,-7.30,102.4,110.2,-7.8,93.8,.290,.172,.513,.471,13.9,28.0,.216,.512,14.4,70.5,.249,Verizon Center,688466,16792
30,Cleveland Cavaliers,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93.0,.312,.224,.518,.472,13.4,24.2,.233,.524,12.7,73.3,.211,Quicken Loans Arena,824595,20112
,League Average,26.7,,,41,41,0.00,0.00,0.00,107.3,107.3,,92.1,.300,.222,.541,.498,13.4,26.4,.229,.498,13.4,73.6,.229,,710241,17321
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Chicago Bulls*,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,+9.1,89.1,.255,.205,.523,.490,13.2,32.6,.184,.450,12.8,74.3,.175,United Center,731326,22161
2,San Antonio Spurs*,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,+7.7,92.9,.261,.257,.562,.528,12.8,25.1,.195,.489,12.9,76.0,.168,AT&T Center,607095,18397
3,Oklahoma City Thunder*,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,+6.6,93.0,.334,.252,.567,.516,15.3,27.8,.269,.465,13.0,72.1,.207,Chesapeake Energy Arena,600699,18203
4,Miami Heat*,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,+6.4,91.2,.307,.198,.549,.505,14.5,26.6,.238,.479,15.8,73.9,.200,AmericanAirlines Arena,657855,19935
5,Philadelphia 76ers*,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,+4.7,89.7,.217,.175,.511,.480,10.9,24.4,.161,.460,13.5,75.2,.192,Wells Fargo Center,577597,17503
6,Denver Nuggets*,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,+3.0,94.2,.326,.243,.556,.516,14.1,27.7,.239,.508,14.3,74.3,.185,Pepsi Center,561966,17029
7,Los Angeles Clippers*,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,+2.8,89.2,.287,.269,.533,.502,12.7,29.5,.195,.492,14.2,73.2,.245,STAPLES Center,634237,19219
8,Atlanta Hawks*,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,+3.7,90.2,.259,.249,.535,.500,13.4,23.9,.192,.480,14.4,74.4,.186,Philips Arena,501593,15200
9,Indiana Pacers*,26.3,42,24,41,25,3.30,-0.71,2.60,106.7,103.1,+3.6,90.7,.321,.198,.526,.474,13.1,29.2,.251,.476,14.1,72.3,.222,Bankers Life Fieldhouse,467561,14169
10,Memphis Grizzlies*,25.6,41,25,38,28,2.02,0.42,2.43,104.0,101.8,+2.2,90.8,.277,.157,.515,.473,13.6,29.8,.211,.485,16.3,72.7,.227,FedEx Forum,518446,15710
11,New York Knicks*,26.3,36,30,41,25,3.20,-0.81,2.39,104.4,101.0,+3.4,93.2,.306,.288,.533,.492,14.9,26.6,.227,.485,15.9,73.7,.224,Madison Square Garden (IV),652179,19763
12,Boston Celtics*,29.3,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,+2.8,90.4,.257,.194,.535,.496,14.7,19.7,.200,.452,14.9,72.4,.216,TD Garden,614592,18624
13,Los Angeles Lakers*,29.7,41,25,36,30,1.42,0.54,1.96,106.0,104.4,+1.6,90.5,.299,.209,.534,.491,14.2,29.1,.226,.476,10.7,74.8,.158,STAPLES Center,626901,18997
14,Dallas Mavericks*,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,+1.0,91.4,.246,.271,.527,.489,13.4,23.4,.190,.479,13.9,74.8,.203,American Airlines Center,671050,20335
15,Utah Jazz*,25.6,36,30,34,32,0.62,0.30,0.92,106.8,106.1,+0.7,91.4,.302,.153,.525,.481,13.0,30.2,.227,.493,13.8,73.8,.245,EnergySolutions Arena,637124,19307
16,Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,+0.3,91.7,.235,.240,.529,.492,13.5,27.5,.184,.490,13.8,73.4,.210,Toyota Center,506994,15363
17,Orlando Magic*,27.5,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,+0.9,89.0,.292,.346,.533,.506,14.5,26.5,.193,.488,12.9,75.5,.190,Amway Center,623587,18897
18,Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,.257,.238,.536,.499,13.3,25.8,.194,.491,13.1,71.7,.200,US Airways Center,514718,15598
19,Portland Trail Blazers,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,.263,.255,.531,.488,13.4,26.3,.209,.504,14.1,72.8,.199,Rose Garden Arena,676384,20496
20,Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.50,-0.23,105.5,105.2,+0.3,93.7,.250,.224,.521,.481,12.9,27.7,.194,.489,14.6,70.9,.217,Bradley Center,485717,14719
21,Minnesota Timberwolves,24.4,26,40,28,38,-2.20,0.37,-1.83,104.3,106.6,-2.3,93.3,.306,.262,.524,.477,14.0,27.5,.236,.491,12.2,73.0,.187,Target Center,577197,17491
22,Golden State Warriors,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,.227,.248,.539,.505,13.3,22.9,.175,.496,13.6,69.1,.237,Oracle Arena,622311,18858
23,New Orleans Hornets,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,.274,.152,.517,.476,15.2,27.5,.207,.485,13.5,73.1,.218,New Orleans Arena,498618,15110
24,Toronto Raptors,25.7,23,43,25,41,-3.30,-0.36,-3.67,100.8,104.5,-3.7,89.3,.274,.209,.518,.475,14.8,25.9,.211,.475,12.8,75.4,.260,Air Canada Centre,555584,16836
25,Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,.268,.228,.510,.472,13.0,29.1,.197,.515,13.9,70.5,.199,Power Balance Pavilion,478764,14508
26,Washington Wizards,24.2,20,46,22,44,-4.80,-0.34,-5.14,101.0,106.2,-5.2,92.5,.253,.196,.508,.472,14.2,27.3,.184,.492,14.2,70.9,.229,Verizon Center,552038,16728
27,Detroit Pistons,26.3,25,41,22,44,-4.79,-0.40,-5.19,101.0,106.3,-5.3,89.2,.279,.175,.510,.468,15.0,28.1,.210,.500,14.2,72.8,.226,The Palace of Auburn Hills,475638,14413
28,New Jersey Nets,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,.269,.278,.516,.473,14.3,27.8,.209,.513,13.7,70.7,.209,Prudential Center,460719,13961
29,Cleveland Cavaliers,26.0,21,45,17,49,-7.20,-0.14,-7.34,101.1,108.9,-7.8,91.3,.307,.238,.505,.463,14.3,28.9,.220,.508,13.1,72.2,.202,Quicken Loans Arena,525577,15927
30,Charlotte Bobcats,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,.276,.169,.483,.439,13.9,23.6,.206,.512,12.8,70.9,.206,Time Warner Cable Arena,486984,14757
,League Average,26.7,,,33,33,0.00,0.00,0.00,104.6,104.6,,91.3,.276,.226,.527,.487,13.8,27.0,.208,.487,13.8,73.0,.208,,570035,17274
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Oklahoma City Thunder*,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,+9.8,93.3,.338,.244,.580,.527,14.4,26.7,.280,.469,13.5,73.4,.197,Chesapeake Energy Arena,746323,18203
2,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,+8.6,90.7,.297,.285,.588,.552,13.7,22.2,.224,.487,14.8,73.0,.200,AmericanAirlines Arena,819290,19983
3,San Antonio Spurs*,28.6,58,24,58,24,6.40,0.27,6.67,108.3,101.6,+6.7,94.2,.258,.264,.568,.531,14.0,20.5,.204,.480,13.7,74.9,.179,AT&T Center,755700,18432
4,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,+7.0,91.1,.286,.265,.557,.526,13.9,28.8,.203,.492,15.4,73.5,.229,STAPLES Center,788293,19227
5,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193,Pepsi Center,730616,17820
6,Memphis Grizzlies*,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,+4.6,88.4,.261,.166,.514,.472,13.3,31.0,.202,.475,15.2,74.3,.209,FedEx Forum,681613,16625
7,New York Knicks*,30.2,54,28,53,29,4.23,-0.50,3.73,111.1,106.3,+4.8,89.8,.258,.354,.550,.515,11.7,25.6,.196,.508,14.8,74.7,.216,Madison Square Garden (IV),780353,19033
8,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,+3.6,96.1,.308,.349,.564,.525,14.9,26.4,.232,.502,13.5,75.2,.196,Toyota Center,683564,16672
9,Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,+4.5,90.2,.293,.245,.521,.479,14.3,30.3,.219,.453,12.9,74.6,.197,Bankers Life Fieldhouse,626069,15270
10,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,+1.2,94.4,.345,.303,.548,.512,13.9,27.0,.239,.496,11.9,74.3,.163,STAPLES Center,778877,18997
11,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211,Oracle Arena,794320,19374
12,Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,+2.0,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174,Barclays Center,704702,17188
13,Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.30,106.7,106.8,-0.1,90.9,.281,.206,.533,.492,13.8,28.8,.214,.501,14.0,73.2,.226,EnergySolutions Arena,763915,18632
14,Chicago Bulls*,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,+0.3,89.3,.259,.189,.512,.470,13.6,29.4,.201,.477,13.2,73.6,.206,United Center,896944,21877
15,Atlanta Hawks*,27.1,44,38,42,40,0.40,-0.48,-0.08,104.8,104.4,+0.4,92.6,.244,.286,.546,.517,14.2,22.2,.174,.496,14.2,73.6,.181,Philips Arena,620146,15126
16,Dallas Mavericks,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,-0.6,94.1,.242,.236,.544,.506,13.0,21.8,.192,.492,13.3,73.1,.227,American Airlines Center,821490,20036
17,Boston Celtics*,29.1,41,40,40,41,-0.22,-0.40,-0.62,103.1,103.3,-0.2,91.7,.263,.215,.542,.503,14.1,20.1,.204,.482,14.2,73.3,.216,TD Garden,744960,18624
18,Milwaukee Bucks*,26.4,38,44,37,45,-1.50,-0.33,-1.83,103.6,105.2,-1.6,94.7,.236,.232,.510,.476,12.7,27.9,.174,.492,14.4,71.3,.201,BMO Harris Bradley Center,616469,15036
19,Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,.305,.220,.516,.473,13.8,27.4,.226,.511,15.0,74.0,.187,Target Center,669956,16340
20,Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,.274,.249,.532,.488,13.0,25.5,.216,.500,13.6,73.4,.247,Air Canada Centre,743936,18145
21,Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,.250,.284,.536,.498,13.9,25.3,.194,.512,12.5,73.3,.189,Rose Garden Arena,813012,19830
22,Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,.261,.223,.512,.475,14.2,24.6,.191,.483,13.7,74.6,.206,Verizon Center,670070,16343
23,New Orleans Hornets,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,.248,.224,.528,.489,14.0,29.2,.193,.520,13.1,74.4,.208,New Orleans Arena,565930,13803
24,Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,.200,.209,.509,.481,12.5,24.9,.146,.495,13.7,73.4,.200,Wells Fargo Center,685412,16717
25,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,.271,.243,.532,.491,13.4,26.6,.208,.517,13.6,71.0,.227,Sleep Train Arena,563743,13750
26,Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,.282,.217,.521,.487,14.3,28.3,.197,.505,13.1,73.0,.209,The Palace of Auburn Hills,606094,14685
27,Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,.265,.229,.514,.473,13.0,28.1,.200,.523,14.4,72.6,.225,Quicken Loans Arena,663882,16192
28,Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,.234,.210,.512,.477,14.3,27.0,.174,.512,14.2,71.9,.208,US Airways Center,632913,15437
29,Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,.197,.223,.514,.485,13.7,25.4,.149,.508,11.8,74.6,.195,Amway Center,722716,17627
30,Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,.310,.210,.507,.460,13.2,25.7,.233,.524,13.2,71.1,.197,Time Warner Cable Arena,628293,15324
,League Average,26.7,,,41,41,0.00,0.00,0.00,105.9,105.9,,92.0,.270,.243,.535,.496,13.7,26.5,.204,.496,13.7,73.5,.204,,710653,17346
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8.00,110.5,102.4,+8.1,95.0,.240,.257,.571,.537,13.5,22.7,.188,.482,12.8,76.4,.184,AT&T Center,755031,18415
2,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.30,7.27,112.1,104.8,+7.3,95.9,.353,.291,.567,.526,12.7,25.0,.258,.484,13.8,72.5,.222,STAPLES Center,787692,19212
3,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,+6.6,95.4,.303,.271,.566,.520,14.0,26.5,.244,.488,13.9,75.6,.221,Chesapeake Energy Arena,746323,18203
4,Golden State Warriors*,26.3,51,31,54,28,4.80,0.34,5.15,107.5,102.6,+4.9,96.2,.247,.291,.550,.517,13.8,25.1,.186,.477,13.6,76.3,.224,Oracle Arena,803436,19596
5,Houston Rockets*,25.4,54,28,53,29,4.56,0.50,5.06,111.0,106.3,+4.7,96.3,.386,.330,.571,.531,14.6,27.4,.275,.489,12.5,74.1,.193,Toyota Center,743082,18124
6,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,+4.1,94.9,.270,.290,.548,.504,12.4,28.0,.220,.488,11.0,74.7,.194,Moda Center,809612,19747
7,Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,+5.1,91.2,.300,.292,.590,.554,14.6,20.6,.228,.511,15.8,73.0,.212,AmericanAirlines Arena,811036,19781
8,Indiana Pacers*,27.2,56,26,54,28,4.40,-0.77,3.63,104.1,99.3,+4.8,92.5,.290,.235,.535,.490,14.3,24.9,.226,.460,12.9,76.8,.197,Bankers Life Fieldhouse,717542,17501
9,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.10,108.9,106.2,+2.7,97.3,.321,.245,.535,.486,12.2,27.4,.249,.518,14.8,74.4,.177,Target Center,597157,14565
10,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,+2.8,95.8,.293,.300,.558,.519,14.0,26.4,.222,.496,13.9,73.7,.237,US Airways Center,650739,15872
11,Dallas Mavericks*,30.6,49,33,48,34,2.40,0.50,2.91,111.2,108.7,+2.5,93.5,.253,.274,.564,.526,12.7,24.6,.201,.515,14.8,72.7,.229,American Airlines Center,817982,19951
12,Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,+3.5,91.8,.306,.285,.545,.498,13.2,27.2,.239,.493,14.1,74.9,.237,Air Canada Centre,748339,18252
13,Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,+1.7,89.9,.248,.171,.529,.494,13.1,28.3,.184,.497,13.8,75.7,.199,FedEx Forum,685458,16718
14,Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.20,102.5,100.5,+2.0,90.2,.290,.222,.518,.471,14.2,27.2,.226,.471,13.7,75.4,.189,United Center,890370,21716
15,Washington Wizards*,26.3,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,+1.4,93.2,.248,.246,.538,.506,13.6,25.2,.181,.504,15.0,75.7,.220,Verizon Center,698068,17026
16,Atlanta Hawks*,27.5,38,44,40,42,-0.48,-0.40,-0.88,105.9,106.4,-0.5,94.6,.266,.316,.554,.515,14.3,21.0,.208,.510,14.0,74.4,.196,Philips Arena,587927,14231
17,Charlotte Bobcats*,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,.297,.219,.522,.481,11.7,21.9,.219,.491,12.6,77.6,.183,Time Warner Cable Arena,636268,15519
18,Denver Nuggets,26.0,36,46,35,47,-2.15,0.75,-1.40,106.0,108.2,-2.2,98.1,.306,.278,.536,.497,14.0,27.5,.222,.500,12.8,74.5,.233,Pepsi Center,692898,16900
19,New York Knicks,28.3,37,45,39,43,-0.79,-0.61,-1.40,108.3,109.1,-0.8,90.3,.248,.302,.541,.505,12.5,25.1,.189,.514,14.0,74.3,.245,Madison Square Garden (IV),812292,19812
20,Brooklyn Nets*,30.0,44,38,38,44,-1.00,-0.58,-1.58,106.7,107.7,-1.0,91.4,.313,.301,.555,.514,14.1,21.7,.236,.509,14.9,72.3,.236,Barclays Center,707331,17252
21,New Orleans Pelicans,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,.286,.193,.537,.495,12.9,26.9,.220,.515,13.6,73.8,.249,Smoothie King Center,672029,16391
22,Sacramento Kings,24.9,28,54,33,49,-2.90,0.82,-2.08,105.7,108.8,-3.1,94.4,.331,.218,.532,.484,13.9,27.8,.251,.512,12.7,76.6,.234,Sleep Train Arena,667949,16291
